Release_Date,Species,Host,Tissue_Specimen_Source,Collection_Date
2015-12-02,Pestivirus suis,Sus scrofa domesticus,"spleen, abdominal cavity",1999
2015-10-31,Pestivirus bovis,Bos taurus,,2015-01-16
2015-10-15,Pestivirus bovis,Bos taurus,,2001
2015-10-15,Pestivirus bovis,Bos taurus,,2006
2015-10-06,Pestivirus suis,Sus scrofa,,2014-07-30
2015-09-26,Pestivirus tauri,Bos taurus,,1993
2015-08-19,Pestivirus bovis,,,
2015-07-29,Pestivirus scrofae,Sus scrofa,,2014-04-09
2015-07-20,Pestivirus bovis,Bos taurus,,2014
2015-07-06,Pestivirus suis,Sus scrofa,blood,2014-12
2015-06-01,Pestivirus suis,Sus scrofa,"lymph, spleen",2013-06
2015-05-06,Pestivirus bovis,Bos taurus,blood,2014
2015-04-07,Pestivirus bovis,Bovidae,,2014-04-30
2015-04-07,Pestivirus tauri,Bovidae,,2014-04-30
2015-04-07,Pestivirus bovis,Bovidae,,2014-04-30
2015-04-07,Pestivirus bovis,Bovidae,,2014-04-30
2015-04-07,Pestivirus tauri,Bovidae,,2014-04-30
2015-04-07,Pestivirus bovis,Bovidae,,2014-04-30
2015-04-07,Pestivirus bovis,Bovidae,,2014-04-30
2015-04-07,Pestivirus bovis,Bovidae,,2014-04-30
2015-04-07,Pestivirus bovis,Bovidae,,2014-04-30
2015-04-07,Pestivirus bovis,Bovidae,,2014-04-30
2015-04-07,Pestivirus bovis,Bovidae,,2014-04-30
2015-04-07,Pestivirus bovis,Bovidae,,2014-04-30
2015-03-24,Pestivirus suis,Sus scrofa,"spleen, lymph",2013-06
2015-03-02,Pestivirus tauri,,,1993
2015-01-20,Pestivirus aydinense,Capra hircus,,2005
2014-12-26,Pestivirus suis,Sus scrofa domesticus,,1993
2014-12-25,Pestivirus tauri,Bos taurus,,
2014-12-23,Pestivirus tauri,,,
2014-12-23,Pestivirus tauri,,,
2014-11-26,Pestivirus suis,,,
2014-11-20,Pestivirus suis,,,
2014-11-19,Pestivirus suis,Sus scrofa,,1998
2014-10-27,Pestivirus ratti,Rattus norvegicus,,2013-06-30
2014-10-22,Pestivirus suis,,,
2014-10-11,Pestivirus suis,Sus scrofa,blood,
2014-08-26,Pestivirus suis,Sus scrofa,"spleen, abdominal cavity",2009-08
2014-08-04,Pestivirus bovis,Bos taurus,,2009
2014-07-09,Pestivirus ovis,Sus scrofa domesticus,blood,2012-02-07
2014-06-23,Pestivirus brazilense,Bos taurus,brain,2013-03
2014-06-23,Pestivirus brazilense,Bos taurus,brain,2013-03
2014-06-10,Pestivirus bovis,,,
2014-05-20,Pestivirus bovis,Bos taurus,,2012-04-06
2014-05-17,Pestivirus bovis,Bos taurus,,2013-12
2014-05-04,Pestivirus suis,Sus scrofa,,1977-01-01
2014-04-24,Pestivirus tauri,Bos taurus,,2013-06
2014-04-24,Pestivirus tauri,Bos taurus,,2013-06
2014-04-24,Pestivirus tauri,Bos taurus,,2013-06
2014-04-24,Pestivirus tauri,Bos taurus,,2013-06
2014-04-24,Pestivirus tauri,Bos taurus,,2013-02
2014-04-24,Pestivirus tauri,Bos taurus,,2013-02
2014-04-24,Pestivirus tauri,Bos taurus,,2013-02
2014-04-24,Pestivirus tauri,Bos taurus,,2013-02
2014-04-24,Pestivirus tauri,Bos taurus,,2013-03
2014-04-24,Pestivirus tauri,Bos taurus,,2013-03
2014-04-24,Pestivirus tauri,Bos taurus,,2013-03
2014-04-24,Pestivirus tauri,Bos taurus,,2013-03
2014-04-24,Pestivirus tauri,Bos taurus,,2000
2014-04-24,Pestivirus tauri,Bos taurus,,2010-03
2014-04-24,Pestivirus tauri,Bos taurus,,2010-03
2014-04-24,Pestivirus tauri,Bos taurus,,2010-03
2014-04-24,Pestivirus tauri,Bos taurus,,2007
2014-04-22,Pestivirus giraffae,Bos taurus,,
2014-04-11,Pestivirus suis,,,2011-09
2014-04-04,Pestivirus ovis,Ovis aries,,1984
2014-03-26,Pestivirus bovis,,blood,
2014-03-26,Pestivirus bovis,,blood,
2014-03-26,Pestivirus bovis,,blood,
2014-03-26,Pestivirus tauri,,blood,
2014-03-26,Pestivirus tauri,,blood,
2014-03-26,Pestivirus tauri,,blood,
2014-03-24,Pestivirus ovis,Ovis aries,blood,
2014-03-24,Pestivirus ovis,Ovis aries,blood,
2014-03-18,Pestivirus tauri,Bos taurus,,2012-12-17
2014-02-25,Pestivirus bovis,Bos taurus,,2012-12
2014-02-11,Pestivirus suis,Sus scrofa domesticus,,2013-01-01
2014-02-11,Pestivirus suis,Sus scrofa domesticus,,2013-01-01
2014-02-11,Pestivirus suis,Sus scrofa domesticus,,2013-01-01
2014-02-11,Pestivirus suis,Sus scrofa domesticus,,2013-01-01
2014-01-31,Pestivirus suis,Sus scrofa,"spleen, abdominal cavity",2012-01-05
2014-01-27,Pestivirus bovis,Bos taurus,,2013-03-10
2013-12-22,Pestivirus brazilense,Bos taurus,oronasopharynx,2007
2013-12-17,Pestivirus ovis,Sus scrofa,,2000-08-01
2013-11-12,Pestivirus brazilense,Bos taurus,,
2013-10-31,Pestivirus brazilense,,,
2013-08-19,Pestivirus ovis,Ovis aries,,2012-03-30
2013-08-14,Pestivirus bovis,Bos taurus,,2012
2013-08-14,Pestivirus tauri,Bos taurus,,2011
2013-06-18,Pestivirus bovis,Bos taurus,,2010
2013-06-04,Pestivirus bovis,Camelus bactrianus,,2010-12
2013-06-04,Pestivirus bovis,Bos taurus,,2011-12
2013-05-29,Pestivirus bovis,Bos taurus,,1993
2013-05-29,Pestivirus bovis,Bos taurus,,1993
2013-04-16,Pestivirus suis,Sus scrofa domesticus,"spleen, abdominal cavity",2006-11
2013-04-16,Pestivirus suis,Sus scrofa domesticus,"spleen, abdominal cavity",
2013-04-16,Pestivirus suis,Sus scrofa domesticus,"spleen, lymph",2011
2013-04-01,Pestivirus suis,Sus scrofa domesticus,,
2013-03-25,Pestivirus brazilense,Bos taurus,,2012-05
2013-03-10,Pestivirus bovis,Vicugna pacos,,
2013-03-10,Pestivirus bovis,Vicugna pacos,,
2013-03-10,Pestivirus bovis,Vicugna pacos,,
2013-03-10,Pestivirus bovis,Vicugna pacos,,
2013-03-10,Pestivirus bovis,Vicugna pacos,,
2013-03-10,Pestivirus bovis,Vicugna pacos,,
2013-03-10,Pestivirus bovis,Vicugna pacos,,
2013-03-10,Pestivirus bovis,Vicugna pacos,,
2013-03-10,Pestivirus bovis,Vicugna pacos,,
2013-03-10,Pestivirus bovis,Vicugna pacos,,
2013-02-16,Pestivirus suis,Sus scrofa,,2011
2013-02-16,Pestivirus suis,Sus scrofa,,2011
2012-11-15,Pestivirus bovis,,,
2012-10-14,Pestivirus brazilense,,,2012-04-01
2012-09-30,Pestivirus aydinense,Ovis aries,,2004
2012-09-18,Pestivirus bovis,,,2008-10-01
2012-09-18,Pestivirus bovis,,,2008-10-01
2012-09-16,Pestivirus suis,Sus scrofa,,2011-03
2012-09-09,Pestivirus suis,Sus scrofa,,2012-05
2012-07-15,Pestivirus brazilense,Bos taurus,lung,2010-03
2012-07-15,Pestivirus brazilense,Bos taurus,lung,2010-03
2012-06-11,Pestivirus bovis,Bos grunniens,,2010-12-31
2012-05-07,Pestivirus bovis,Bos taurus,,
2012-05-07,Pestivirus bovis,Bos taurus,,
2012-05-07,Pestivirus tauri,Bos taurus,,
2012-04-18,Pestivirus suis,Sus scrofa domesticus,"spleen, abdominal cavity",2011-11
2012-03-31,Pestivirus tauri,Bos taurus,,2011-03
2012-03-26,Pestivirus suis,Sus scrofa,,2010-11-20
2012-03-04,Pestivirus bovis,,,
2012-03-04,Pestivirus tauri,,,
2012-03-04,Pestivirus tauri,,,
2012-03-04,Pestivirus bovis,,,
2012-03-04,Pestivirus tauri,,,
2012-03-04,Pestivirus tauri,,,
2012-03-04,Pestivirus tauri,,,
2012-03-04,Pestivirus tauri,,,
2012-03-04,Pestivirus bovis,,,
2012-03-04,Pestivirus bovis,,,
2012-03-04,Pestivirus tauri,,,
2012-02-15,Pestivirus bovis,Bos taurus,,
2012-01-30,Pestivirus bovis,Bos taurus,,2011-01-08
2012-01-08,Pestivirus suis,,,
2011-12-25,Pestivirus bovis,Sus scrofa,,2008-08-26
2011-12-11,Pestivirus suis,,,
2011-08-20,Pestivirus brazilense,Bos taurus,lung,2010-01
2011-07-15,Pestivirus bovis,,,
2011-07-15,Pestivirus bovis,,,
2011-07-12,Pestivirus suis,Sus scrofa domesticus,,2002
2011-07-12,Pestivirus suis,Sus scrofa domesticus,,2007
2011-07-12,Pestivirus suis,Sus scrofa domesticus,,2009
2011-04-04,Pestivirus suis,Sus scrofa,"spleen, abdominal cavity",2009
2011-02-15,Pestivirus bovis,Bos taurus,,
2011-02-15,Pestivirus bovis,Bos taurus,,
2011-02-15,Pestivirus bovis,Bos taurus,,
2011-02-15,Pestivirus bovis,Bos taurus,,
2011-02-15,Pestivirus bovis,Bos taurus,,
2011-02-15,Pestivirus tauri,Bos taurus,,
2011-02-15,Pestivirus tauri,Bos taurus,,
2011-02-15,Pestivirus tauri,Bos taurus,,
2011-02-15,Pestivirus tauri,Bos taurus,,
2011-02-15,Pestivirus tauri,,,
2011-02-15,Pestivirus tauri,,,
2011-02-15,Pestivirus tauri,,,
2010-11-17,Pestivirus tauri,Sus scrofa,,2009-08-30
2010-11-02,Pestivirus suis,,,
2010-09-21,Pestivirus suis,Sus scrofa domesticus,,
2010-07-28,Pestivirus ovis,Rupicapra rupicapra,,2002-08
2010-06-15,Pestivirus ovis,,,
2010-06-15,Pestivirus suis,,,
2010-06-12,Pestivirus tauri,,,
2010-06-01,Pestivirus suis,Sus scrofa domesticus,,2006
2010-06-01,Pestivirus suis,Sus scrofa,,2005
2010-06-01,Pestivirus suis,Sus scrofa,,2009
2010-06-01,Pestivirus suis,Sus scrofa,,2009
2010-06-01,Pestivirus suis,Sus scrofa,,2004
2010-05-30,Pestivirus suis,Sus scrofa,,2008
2010-03-14,Pestivirus suis,Sus scrofa,,2009-10-20
2009-12-30,Pestivirus australiaense,,,
2009-10-16,Pestivirus bovis,,,
2009-10-12,Pestivirus suis,Sus scrofa,,2009-03-10
2009-10-10,Pestivirus tauri,Bos taurus,,2005-08-01
2009-06-17,Pestivirus brazilense,Bos taurus,,2004
2009-06-15,Pestivirus suis,Sus scrofa,"spleen, abdominal cavity",2006-03
2009-05-13,Pestivirus tauri,Bos taurus,,2004-12-08
2009-03-30,Pestivirus suis,,,
2009-02-01,Pestivirus suis,Sus scrofa,,1980-06
2009-02-01,Pestivirus suis,,,
2009-01-19,Pestivirus suis,Sus scrofa,,2008-03
2008-11-01,Pestivirus suis,Sus scrofa,,2001
2008-07-29,Pestivirus suis,Sus scrofa,"spleen, abdominal cavity",
2008-03-16,Pestivirus suis,,,
2008-03-11,Pestivirus suis,,"lymph, spleen",2006-10-20
2006-12-05,Pestivirus bovis,,,
2005-11-22,Pestivirus suis,,,
2005-11-04,Pestivirus bovis,,,
2005-11-04,Pestivirus bovis,,,
2005-10-01,Pestivirus bovis,,,
2005-07-31,Pestivirus suis,,,
2005-06-24,Pestivirus bovis,,,
2005-05-01,Pestivirus antilocaprae,Antilocapra americana,,
2005-03-31,Pestivirus suis,,,
2005-01-01,Pestivirus suis,,,
2005-01-01,Pestivirus suis,,,
2004-11-22,Pestivirus suis,,,
2004-11-02,Pestivirus suis,,,
2004-09-13,Pestivirus bovis,,,
2004-09-13,Pestivirus suis,,,
2004-09-13,Pestivirus ovis,,,
2004-08-07,Pestivirus suis,,,
2003-12-06,Pestivirus tauri,,,
2003-12-06,Pestivirus tauri,,,
2003-12-03,Pestivirus tauri,,,
2003-10-04,Pestivirus suis,,,
2003-09-15,Pestivirus suis,,,
2003-05-10,Pestivirus bovis,,,
2003-01-29,Pestivirus bovis,,,
2003-01-29,Pestivirus bovis,,,
2003-01-29,Pestivirus bovis,,,
2002-08-21,Pestivirus suis,,,
2002-08-04,Pestivirus tauri,,,
2002-07-28,Pestivirus bovis,,,
2002-02-03,Pestivirus suis,,,
2001-09-06,Pestivirus suis,,,
2001-08-10,Pestivirus suis,,,
2001-04-12,Pestivirus suis,,,
2001-03-20,Pestivirus suis,,,
2001-01-28,Pestivirus suis,,,
2000-08-17,Pestivirus bovis,,,
2000-07-12,Pestivirus bovis,,,
2000-05-17,Pestivirus bovis,,,
2000-05-17,Pestivirus bovis,,,
1999-10-19,Pestivirus suis,,,
1999-10-16,Pestivirus giraffae,Giraffa camelopardalis,,
1999-10-16,Pestivirus ovis,Rangifer tarandus,,
1999-06-14,Pestivirus tauri,,,
1998-12-27,Pestivirus suis,,,
1998-10-28,Pestivirus suis,,,
1998-10-01,Pestivirus suis,,,
1998-10-01,Pestivirus suis,,,
1998-09-29,Pestivirus bovis,,,
1998-05-15,Pestivirus ovis,,,
1998-01-17,Pestivirus bovis,,,
1997-06-11,Pestivirus tauri,,,
1997-06-06,Pestivirus bovis,,,
1997-06-03,Pestivirus bovis,,,
1997-06-03,Pestivirus bovis,,,
1997-03-26,Pestivirus suis,,,
1997-03-07,Pestivirus suis,,,
1996-12-04,Pestivirus ovis,,,
1996-09-01,Pestivirus bovis,Bos,,
1996-03-13,Pestivirus suis,,,
1996-02-07,Pestivirus suis,,,
1996-02-07,Pestivirus suis,,,
1995-12-02,Pestivirus suis,,,
1995-10-20,Pestivirus suis,,,
1995-09-29,Pestivirus suis,,,
1995-07-31,Pestivirus suis,,,
1995-06-19,Pestivirus suis,,,
1995-06-02,Pestivirus tauri,,,
1994-03-23,Pestivirus suis,,,
1993-08-02,Pestivirus bovis,,,
1993-08-02,Pestivirus suis,,,
1993-08-02,Pestivirus bovis,,,
1993-06-11,Pestivirus bovis,,,
1990-06-15,Pestivirus suis,,,
