Release_Date,Species,Host,Tissue_Specimen_Source,Collection_Date
2023-01-25,Pestivirus bovis,Bos taurus,,2021-05
2023-01-25,Pestivirus bovis,Bos taurus,,2021-05
2023-01-24,Pestivirus bovis,Bos taurus,blood,2017-12
2023-01-24,Pestivirus bovis,Bos taurus,blood,2017-12
2023-01-24,Pestivirus bovis,Bos taurus,blood,2018-03
2023-01-23,Pestivirus suis,Sus scrofa domesticus,,2008
2023-01-23,Pestivirus suis,Sus scrofa domesticus,,2008
2023-01-23,Pestivirus suis,Sus scrofa domesticus,,2008
2023-01-23,Pestivirus suis,Sus scrofa domesticus,,2008
2023-01-23,Pestivirus suis,Sus scrofa domesticus,,2008
2023-01-23,Pestivirus suis,Sus scrofa domesticus,,2008
2023-01-23,Pestivirus suis,Sus scrofa domesticus,,2008
2023-01-23,Pestivirus suis,Sus scrofa domesticus,,2008
2023-01-17,Pestivirus suis,Sus scrofa,,1980
2023-01-17,Pestivirus suis,Sus scrofa,lymph,2013
2023-01-17,Pestivirus suis,Sus scrofa,blood,2014
2023-01-17,Pestivirus suis,Sus scrofa,tonsil,2015
2023-01-17,Pestivirus suis,Sus scrofa,blood,2016
2023-01-17,Pestivirus suis,Sus scrofa,"spleen, abdominal cavity",2016
2023-01-17,Pestivirus suis,Sus scrofa,lymph,2017
2023-01-17,Pestivirus suis,Sus scrofa,lymph,2017
2023-01-15,Pestivirus scrofae,Sus scrofa,,2018-03
2023-01-15,Pestivirus scrofae,Sus scrofa,,2017-05
2023-01-15,Pestivirus scrofae,Sus scrofa,,2018-04
2023-01-05,Pestivirus bovis,Bos taurus,,2016-08-02
2023-01-05,Pestivirus bovis,Bos taurus,,2016-12-06
2023-01-05,Pestivirus bovis,Bos taurus,,2016-10-05
2023-01-05,Pestivirus bovis,Bos taurus,,2016-09-27
2023-01-05,Pestivirus bovis,Bos taurus,,2016-07-25
2023-01-05,Pestivirus tauri,Bos taurus,,2017-03-24
2023-01-05,Pestivirus tauri,Bos taurus,,2016-05-24
2022-12-26,Pestivirus tauri,Bos taurus,,2021
2022-12-22,Glass knifefish pestivirus,Eigenmannia virescens,,
2022-12-22,Frog pestivirus,Anura,,
2022-12-20,Pestivirus suis,Sus scrofa,,2020
2022-10-09,Pestivirus brazilense,Bos taurus,feces,2022
2022-10-09,Pangolin pestivirus T7,Manis javanica,,2019
2022-09-25,Pestivirus ovis,Ovis aries,,2019
2022-09-05,Pestivirus scrofae,Sus scrofa,lymph,2021-06-06
2022-09-05,Pestivirus scrofae,Sus scrofa,lymph,2021-06-06
2022-08-30,Pestivirus suis,Sus scrofa,,2018
2022-08-30,Pestivirus suis,Sus scrofa,,2018
2022-08-30,Pestivirus suis,Sus scrofa,,2019
2022-08-30,Pestivirus suis,Sus scrofa,,2018
2022-08-30,Pestivirus suis,Sus scrofa,,2018
2022-08-30,Pestivirus suis,Sus scrofa,,2018
2022-08-30,Pestivirus suis,Sus scrofa,,2018
2022-08-30,Pestivirus suis,Sus scrofa,,2018
2022-08-23,Pestivirus L,Sus scrofa,,2021
2022-07-25,Pangolin pestivirus,Pholidota,,2019-08
2022-07-13,Pestivirus scrofae,Sus scrofa,,2016
2022-07-10,Pestivirus bovis,Bos taurus,,2021-03
